name,brand,sensor,pixels,video,weight,stabilization,display,fps,mount,price,type,image_url,description
Sony A7 III,Sony,Full Frame,24.2,4K30,650,IBIS,Tilt,10,Sony E,2000000,Mirrorless,https://placehold.co/800x600/1f2937/ffffff.png?text=Sony+A7+III,"출시 이후 가장 오랫동안 사랑받은 풀프레임의 교과서"
Sony A6000,Sony,APS-C,24.3,FHD60,344,None,Tilt,11,Sony E,450000,Mirrorless,https://placehold.co/800x600/1f2937/ffffff.png?text=Sony+A6000,"가성비 최고의 APS-C 입문기, 여전히 훌륭한 현역"
Sony A7R III,Sony,Full Frame,42.4,4K30,657,IBIS,Tilt,10,Sony E,2400000,Mirrorless,https://placehold.co/800x600/1f2937/ffffff.png?text=Sony+A7R+III,"고해상도 사진 작업자를 위한 가성비 최적의 바디"
Canon EOS RP,Canon,Full Frame,26.2,4K24,485,None,Fully Articulating,5,Canon RF,1200000,Mirrorless,https://placehold.co/800x600/1f2937/ffffff.png?text=Canon+EOS+RP,"가장 가볍고 저렴하게 시작하는 풀프레임 미러리스"
Canon EOS R,Canon,Full Frame,30.3,4K30,660,None,Fully Articulating,8,Canon RF,1600000,Mirrorless,https://placehold.co/800x600/1f2937/ffffff.png?text=Canon+EOS+R,"캐논 RF 마운트의 기념비적인 첫 풀프레임 바디"
Canon EOS M50 Mark II,Canon,APS-C,24.1,4K24,387,None,Fully Articulating,10,Canon EF-M,750000,Mirrorless,https://placehold.co/800x600/1f2937/ffffff.png?text=Canon+EOS+M50+Mark+II,"브이로거와 입문자들의 영원한 베스트셀러"
Nikon Z6,Nikon,Full Frame,24.5,4K30,675,IBIS,Tilt,12,Nikon Z,1500000,Mirrorless,https://placehold.co/800x600/1f2937/ffffff.png?text=Nikon+Z6,"훌륭한 그립감과 가성비를 자랑하는 Z마운트 1세대"
Nikon Z7,Nikon,Full Frame,45.7,4K30,675,IBIS,Tilt,9,Nikon Z,2100000,Mirrorless,https://placehold.co/800x600/1f2937/ffffff.png?text=Nikon+Z7,"풍경 사진가들을 위한 니콘의 1세대 고해상도 명기"
Canon EOS 5D Mark IV,Canon,Full Frame,30.4,4K30,890,None,Fixed,7,Canon EF,3200000,DSLR,https://placehold.co/800x600/1f2937/ffffff.png?text=Canon+EOS+5D+Mark+IV,"DSLR의 완성형, 수많은 상업 작가들의 영원한 명기"
Canon EOS 6D Mark II,Canon,Full Frame,26.2,FHD60,765,None,Fully Articulating,6.5,Canon EF,1800000,DSLR,https://placehold.co/800x600/1f2937/ffffff.png?text=Canon+EOS+6D+Mark+II,"가벼운 무게와 회전형 액정을 갖춘 풀프레임 DSLR"
Canon EOS 90D,Canon,APS-C,32.5,4K30,701,None,Fully Articulating,10,Canon EF-S,1500000,DSLR,https://placehold.co/800x600/1f2937/ffffff.png?text=Canon+EOS+90D,"크롭 DSLR의 끝판왕, 광학식 뷰파인더의 매력"
Nikon D850,Nikon,Full Frame,45.7,4K30,1005,None,Tilt,7,Nikon F,3500000,DSLR,https://placehold.co/800x600/1f2937/ffffff.png?text=Nikon+D850,"니콘 DSLR의 최고봉, 완벽에 가까운 명기"
Nikon D750,Nikon,Full Frame,24.3,FHD60,840,None,Tilt,6.5,Nikon F,1500000,DSLR,https://placehold.co/800x600/1f2937/ffffff.png?text=Nikon+D750,"명기 중의 명기, 중고 시장 최고의 가성비 풀프레임 DSLR"
